ID	adj.P.Val	P.Value	t	B	logFC	RANGE_GB	RANGE_START	RANGE_END	RANGE_STRAND	GB_ACC	ORF
cg22100821	2.83e-03	8.19e-04	3.434057	-1.861299	0.07825726	NC_000020.9	603723	604840	-	NM_033129.1	85508
cg13929328	2.83e-03	8.20e-04	3.433714	-1.862375	0.11704231	NC_000010.9	129424072	129426344	+	NM_207426.1	399823
cg10307548	2.84e-03	8.23e-04	-3.432568	-1.865974	-0.10317409					NM_003102.1	6649
cg15652212	2.85e-03	8.26e-04	-3.43162	-1.86895	-0.10650948					NM_153345.1	135932
cg27493997	2.86e-03	8.27e-04	3.430922	-1.87114	0.08818618	NC_000001.9	154941303	154943404	-	NM_001878.2	1382
cg08376864	2.86e-03	8.28e-04	3.430815	-1.871476	0.06548346	NC_000003.10	194441051	194442129	+	NM_020386.2	57110
cg09360654	2.86e-03	8.29e-04	-3.430522	-1.872396	-0.03077923					NM_012222.1	4595
cg12420104	2.88e-03	8.33e-04	3.42892	-1.877421	0.09134845	NC_000009.10	966066	967963	+	NM_021240.2	58524
cg13976438	2.88e-03	8.33e-04	-3.428872	-1.877571	-0.04352364					NM_152589.1	160419
cg23748737	2.88e-03	8.34e-04	3.428654	-1.878256	0.09210932	NC_000022.9	19120497	19122837	-	NM_182895.1	91179
cg07309102	2.88e-03	8.34e-04	3.428631	-1.878328	0.11863932	NC_000009.10	109289500	109293102	-	NM_004235.3	9314
cg18384097	2.88e-03	8.36e-04	3.427949	-1.880467	0.05132482					NM_002832.2	5778
cg12699371	2.89e-03	8.37e-04	3.427426	-1.882106	0.08834724	NC_000018.8	73090255	73093032	+	NM_001480.2	2587
cg25466974	2.89e-03	8.38e-04	-3.427277	-1.882575	-0.00853422	NC_000001.9	209817643	209819903	-	NM_021194.2	7779
cg27550918	2.91e-03	8.43e-04	-3.425411	-1.888423	-0.06657244					NM_024875.2	79933
cg13615963	2.91e-03	8.45e-04	-3.424803	-1.89033	-0.05471424					NM_004367.3	1235
cg10874403	2.92e-03	8.45e-04	-3.424586	-1.89101	-0.06325647					NM_000306.1	5449
cg01512854	2.92e-03	8.45e-04	-3.424521	-1.891213	-0.0729339	NC_000005.8	140460835	140461250	+	NM_018937.2	56132
cg04228628	2.92e-03	8.47e-04	3.424136	-1.892421	0.00447875	NC_000008.9	9450601	9451668	+	NM_003747.1	8658
cg04848046	2.92e-03	8.47e-04	-3.423955	-1.892989	-0.06628843					NM_022763.2	64778
cg22833175	2.92e-03	8.47e-04	-3.423811	-1.893438	-0.07551473					NM_016312.2	51729
cg16896647	2.92e-03	8.48e-04	3.423608	-1.894074	0.06549331	NC_000009.10	92603527	92604494	+	NM_003177.3	6850
cg05937453	2.92e-03	8.48e-04	3.423568	-1.8942	0.06518195	NC_000010.9	99520826	99522150	-	NT_030059.12	6425
cg25162301	2.93e-03	8.49e-04	-3.423267	-1.895144	-0.09436203					NM_001622.1	197
cg16792800	2.93e-03	8.49e-04	-3.423197	-1.895363	-0.03498031	NC_000013.9	92677065	92679121	+	NM_005708.2	10082
cg04721883	2.94e-03	8.52e-04	3.422232	-1.898385	0.14867694	NC_000023.9	103384772	103386953	-	NM_153448.2	80712
cg25799433	2.94e-03	8.52e-04	-3.422132	-1.8987	-0.05104138					NM_006065.1	10326
cg27169020	2.94e-03	8.52e-04	-3.42205	-1.898956	-0.09467417	NC_000015.8	81742719	81745331	-	NM_001717.2	646
cg02181506	2.94e-03	8.53e-04	-3.421804	-1.899727	-0.02999407					NM_000295.3	5265
cg09307264	2.95e-03	8.56e-04	-3.420699	-1.903185	-0.06452582					NM_213726.1	388324
cg22333888	2.95e-03	8.57e-04	3.420411	-1.904086	0.08373715	NC_000020.9	3611404	3611783	-	NM_025220.2	80332
cg11226328	2.95e-03	8.58e-04	-3.420065	-1.90517	-0.01023292	NC_000001.9	29085901	29086988	+	NM_203343.1	2035
cg02536286	2.95e-03	8.58e-04	3.419964	-1.905487	0.1158696	NC_000020.9	54636751	54640473	+	NM_003222.3	7022
cg05511517	2.96e-03	8.59e-04	-3.419635	-1.906517	-0.01295932					NM_024408.2	4853
cg08113203	2.96e-03	8.60e-04	-3.419408	-1.907226	-0.07027623					NM_006685.2	10879
cg26937500	2.96e-03	8.60e-04	3.419329	-1.907472	0.06279307	NC_000007.12	3049651	3050279	-	NM_032415.2	84433
cg18236297	2.97e-03	8.62e-04	-3.418773	-1.909215	-0.11868586					NM_020377.2	57105
cg09945801	2.97e-03	8.62e-04	3.418672	-1.909529	0.10036253	NC_000008.9	31009491	31011266	+	NM_000553.2	7486
cg05354432	2.97e-03	8.64e-04	3.418105	-1.911305	0.05312817	NC_000004.10	109306658	109309998	-	NM_016269.2	51176
cg18705301	2.97e-03	8.65e-04	-3.417771	-1.91235	-0.08096944	NC_000015.8	39481647	39482756	-	NM_016013.2	51103
cg11428724	2.98e-03	8.67e-04	3.417111	-1.914412	0.11514175	NC_000001.9	18829151	18831168	+	NM_002584.1	5081
cg25645462	2.98e-03	8.68e-04	3.416795	-1.915401	0.07101278					NM_201525.1	9289
cg17215680	2.98e-03	8.68e-04	-3.416589	-1.916046	-0.08080209					NM_033130.2	89790
cg21030598	2.99e-03	8.70e-04	3.415808	-1.91849	0.05497659	NC_000003.10	197950821	197952064	+	NM_002577.3	5062
cg20922422	3.00e-03	8.72e-04	3.415322	-1.920009	0.10307977	NC_000023.9	24575278	24575694	-	NM_004845.3	9468
cg15640375	3.00e-03	8.72e-04	3.415262	-1.920196	0.09434342	NC_000019.8	772219	774095	-	NM_024888.1	79948
cg16986494	3.00e-03	8.72e-04	-3.415152	-1.920539	-0.00979922	NC_000003.10	61211519	61212421	-	NM_002012.1	2272
cg20855565	3.01e-03	8.75e-04	3.414241	-1.923388	0.08589271	NC_000001.9	246086350	246088254	+	NM_015431.2	25893
cg02966329	3.01e-03	8.75e-04	3.414229	-1.923427	0.04310708	NC_000006.10	80770229	80771473	+	NM_003318.3	7272
cg06461848	3.01e-03	8.77e-04	-3.413679	-1.925144	-0.03605621					NM_144625.2	128025
cg07465864	3.02e-03	8.78e-04	-3.413162	-1.926759	-0.03326539	NC_000005.8	112877007	112878058	+	NM_022828.2	64848
cg05385377	3.02e-03	8.80e-04	3.412577	-1.928587	0.0984727	NC_000001.9	15351366	15354178	+	NM_018022.1	55092
cg07080946	3.02e-03	8.80e-04	-3.412493	-1.928851	-0.07437628	NC_000016.8	219831	220087	-	NM_201412.1	55692
cg22337624	3.03e-03	8.82e-04	-3.411725	-1.931252	-0.04893188					NM_014003.3	9785
cg03957435	3.03e-03	8.83e-04	-3.411505	-1.931939	-0.07141997					NM_003446.2	7712
cg00874863	3.04e-03	8.84e-04	-3.411027	-1.93343	-0.06876974					NM_178175.2	340596
cg22183626	3.05e-03	8.88e-04	3.409848	-1.937112	0.06936496	NC_000013.9	44047797	44050571	-	NM_006022.2	8848
cg19853229	3.05e-03	8.88e-04	3.409781	-1.937322	0.04771841	NC_000019.8	44594567	44596458	+	NM_022835.1	64857
cg16703647	3.06e-03	8.91e-04	3.408751	-1.940539	0.07872986	NC_000015.8	76419520	76421296	+	NM_004378.1	1381
cg00566759	3.06e-03	8.93e-04	-3.408047	-1.942735	-0.01708108	NC_000018.8	26934688	26936548	-	NM_004949.2	1824
cg22674717	3.07e-03	8.94e-04	-3.407866	-1.9433	-0.02469324	NC_000016.8	49740746	49744758	-	NM_002968.1	6299
cg19890739	3.08e-03	8.97e-04	3.406727	-1.946856	0.07317965	NC_000016.8	84280985	84281211	-	NM_016095.1	51659
cg25549459	3.08e-03	8.98e-04	3.406626	-1.947169	0.06383951	NC_000002.10	104835039	104840521	+	NM_006236.1	5455
cg17936488	3.08e-03	8.98e-04	3.406299	-1.948191	0.07352479	NC_000009.10	133141048	133141374	-	NM_033387.2	286336
cg11688990	3.09e-03	9.01e-04	-3.40547	-1.950777	-0.05356946					NM_024899.2	79959
cg02624129	3.09e-03	9.01e-04	-3.405419	-1.950937	-0.03706734	NC_000011.8	130291206	130291940	-	NM_014758.1	399979
cg24030425	3.09e-03	9.02e-04	-3.405219	-1.951559	-0.0083997	NC_000007.12	91994929	91996354	-	NM_000466.1	5189
cg23606079	3.10e-03	9.04e-04	3.404596	-1.953503	0.08527502	NC_000016.8	83410061	83411399	+	NM_031476.1	83716
cg08008403	3.10e-03	9.04e-04	3.404561	-1.95361	0.07818472	NC_000001.9	196146152	196148467	+	NM_020204.2	56956
cg15034135	3.13e-03	9.13e-04	3.401638	-1.962723	0.06450077	NC_000005.8	128823186	128825406	+	NM_133638.2	171019
cg27041096	3.13e-03	9.13e-04	-3.401519	-1.963095	-0.07852504					NM_006438.2	10584
cg07015629	3.13e-03	9.13e-04	3.401369	-1.963563	0.08687162	NC_000002.10	213109348	213112340	-	NM_005235.1	2066
cg05243874	3.13e-03	9.14e-04	3.401173	-1.964173	0.05716937	NC_000015.8	82688907	82690094	-	NM_203426.1	388152
cg10316764	3.13e-03	9.14e-04	3.401041	-1.964584	0.0610924	NC_000016.8	29892075	29893396	+	NM_004783.2	9344
cg00061629	3.13e-03	9.15e-04	3.40082	-1.965274	0.10004293	NC_000011.8	44281312	44281846	-	NT_009237.17	60529
cg17398595	3.14e-03	9.16e-04	3.400408	-1.966558	0.1026909	NC_000009.10	17568653	17569949	+	NM_003026.1	6456
cg26862286	3.14e-03	9.18e-04	-3.399888	-1.968177	-0.05282447	NC_000002.10	232036571	232039010	-	NM_005381.2	4691
cg06363129	3.15e-03	9.19e-04	-3.399489	-1.969419	-0.04720853					NM_015464.1	25928
cg03931808	3.15e-03	9.21e-04	-3.398954	-1.971088	-0.09656707	NC_000019.8	13999984	14000219	+	NM_080864.2	117579
cg22417789	3.15e-03	9.21e-04	-3.398927	-1.97117	-0.03043388	NC_000013.9	79811957	79814173	-	NM_005842.2	10253
cg21742836	3.15e-03	9.21e-04	-3.398772	-1.971654	-0.0595842	NC_000016.8	29992924	29993729	+	NM_002720.1	5531
cg17644208	3.16e-03	9.23e-04	3.398349	-1.972971	0.07699811	NC_000002.10	24995809	24997345	-	NM_004036.2	109
cg13755070	3.16e-03	9.23e-04	3.398241	-1.973307	0.05185955	NC_000011.8	128067557	128070534	+	NM_002017.2	2313
cg02729352	3.16e-03	9.24e-04	3.397835	-1.974571	0.07126044	NC_000019.8	57243507	57244601	-	NM_014650.2	9668
cg02075593	3.18e-03	9.29e-04	-3.396411	-1.979004	-0.07184264					NM_000847.3	2940
cg03362494	3.18e-03	9.31e-04	-3.395618	-1.981471	-0.05192921					NM_144637.2	131540
cg20143092	3.18e-03	9.31e-04	3.395572	-1.981613	0.08348248	NC_000011.8	35116811	35117939	+	NM_000610.3	960
cg08441170	3.20e-03	9.35e-04	3.394458	-1.985079	0.11454178	NC_000010.9	26262759	26264179	+	NM_017433.3	53904
cg18236079	3.21e-03	9.39e-04	3.393042	-1.989486	0.09453316	NC_000017.9	13444405	13446633	-	NM_006042.1	9955
cg26021476	3.21e-03	9.40e-04	-3.392813	-1.990197	-0.01147256	NC_000008.9	110414912	110416202	+	NM_020189.4	56943
cg26667975	3.21e-03	9.41e-04	-3.392521	-1.991105	-0.03982813	NC_000019.8	1187585	1189359	-	NM_152769.1	255057
cg13053608	3.23e-03	9.44e-04	3.391456	-1.994415	0.07203452					NM_032484.3	84514
cg09188980	3.24e-03	9.48e-04	3.390332	-1.99791	0.0844147	NC_000011.8	14949913	14950639	-	NM_001741.2	796
cg14789259	3.25e-03	9.51e-04	3.389195	-2.001442	0.07212147	NC_000002.10	14690720	14690993	+	NM_145175.1	151354
cg25242557	3.25e-03	9.52e-04	3.38901	-2.002019	0.09784511	NC_000011.8	31789223	31789894	-	NM_000280.2	5080
cg11891583	3.25e-03	9.52e-04	-3.388911	-2.002326	-0.09177003	NC_000023.9	120008836	120009791	+	NM_012084.3	2747
cg15840658	3.25e-03	9.53e-04	-3.388736	-2.002869	-0.02729993	NC_000009.10	71476273	71478056	-	NM_001163.2	320
cg10660256	3.26e-03	9.54e-04	-3.38815	-2.004689	-0.04775334	NC_000005.8	78443059	78443592	+	NM_001713.1	635
cg23186643	3.26e-03	9.55e-04	3.387919	-2.005409	0.10355922	NC_000017.9	77453058	77454255	+	NM_148896.2	256933
cg00338702	3.27e-03	9.57e-04	3.387397	-2.00703	0.09228892	NC_000012.10	131973620	131975130	-	NM_018223.1	55743
cg03262773	3.27e-03	9.59e-04	3.386591	-2.009531	0.12380231	NC_000001.9	46485096	46486482	+	NM_003579.2	8438
cg01343729	3.28e-03	9.60e-04	3.38627	-2.01053	0.01005584	NC_000016.8	30490076	30491410	-	NM_145271.3	146542
cg00519208	3.28e-03	9.60e-04	-3.386267	-2.010536	-0.07256432					NM_005665.4	7813
cg13873733	3.28e-03	9.63e-04	-3.385585	-2.012657	-0.0334865	NC_000004.10	83568919	83571656	+	NM_021204.1	58478
cg02995295	3.28e-03	9.63e-04	3.385573	-2.012692	0.0756476	NC_000013.9	50693999	50695191	+	NM_145019.2	220108
cg24109894	3.28e-03	9.63e-04	-3.385472	-2.013007	-0.03427711	NC_000001.9	35880712	35881012	-	NM_002794.3	5690
cg03198372	3.29e-03	9.64e-04	-3.385163	-2.013965	-0.03690459	NC_000022.9	27798524	27800384	+	NM_032045.3	83999
cg13391235	3.30e-03	9.67e-04	-3.384073	-2.01735	-0.08716049					NM_153238.1	197196
cg17788013	3.30e-03	9.69e-04	-3.383554	-2.018959	-0.07522913					NM_006846.2	11005
cg21788470	3.30e-03	9.69e-04	-3.383542	-2.018996	-0.07023342					NM_002820.2	5744
cg19149785	3.31e-03	9.71e-04	-3.383042	-2.020546	-0.08580543	NC_000019.8	56197518	56198259	-	NM_144505.1	11202
cg08933517	3.32e-03	9.73e-04	-3.382261	-2.02297	-0.06593182					NM_153046.1	122402
cg16716983	3.32e-03	9.75e-04	-3.381855	-2.024228	-0.0634808					NM_001939.1	1821
cg02029926	3.33e-03	9.76e-04	3.381365	-2.025749	0.06289526	NC_000004.10	74953702	74954565	+	NM_001511.1	2919
cg00521434	3.33e-03	9.78e-04	-3.380771	-2.02759	-0.07825622					NM_031936.3	83873
cg15660498	3.33e-03	9.78e-04	3.380697	-2.027821	0.08694521	NC_000019.8	40940302	40941942	+	NM_144692.1	148137
cg14634738	3.34e-03	9.82e-04	-3.37965	-2.031065	-0.03137696	NC_000003.10	50100307	50102235	+	NM_005778.1	10181
cg13851211	3.35e-03	9.83e-04	-3.379414	-2.031796	-0.02298909					NM_001114.2	113
cg01419479	3.35e-03	9.85e-04	-3.378644	-2.034185	-0.00489516	NC_000001.9	180626132	180628323	-	NM_001033056.1	2752
cg27403822	3.36e-03	9.85e-04	-3.378515	-2.034584	-0.01849767	NC_000001.9	177317402	177318649	+	NM_022371.2	64222
cg25537962	3.36e-03	9.86e-04	3.378401	-2.034938	0.05504163	NC_000006.10	74462134	74462966	+	NM_133493.1	135228
cg24266238	3.36e-03	9.87e-04	3.378109	-2.035841	0.04961507	NC_000003.10	151170483	151172364	-	NM_053024.2	5217
cg11248413	3.37e-03	9.89e-04	3.377326	-2.038268	0.08792034	NC_000005.8	134898284	134900130	-	NM_006161.2	4762
cg11706163	3.37e-03	9.89e-04	-3.377312	-2.038312	-0.06009808					NM_001737.2	735
cg04799664	3.37e-03	9.90e-04	-3.377042	-2.039149	-0.06898085					NM_032206.2	84166
cg27475152	3.37e-03	9.90e-04	-3.376992	-2.039304	-0.06059451					NM_001732.1	696
cg12598178	3.38e-03	9.95e-04	-3.375721	-2.04324	-0.02371696	NC_000017.9	77925552	77927001	+	NM_018949.1	2837
cg13686042	3.38e-03	9.95e-04	3.375605	-2.043597	0.02148359	NC_000022.9	49259276	49260730	-	NM_002972.1	6305
cg14654385	3.39e-03	9.96e-04	3.375167	-2.044954	0.04416069	NC_000011.8	63729259	63729691	+	NM_031471.4	83706
cg24132694	3.39e-03	9.98e-04	-3.374675	-2.046477	-0.03484961	NC_000019.8	7890940	7892160	+	NM_003083.1	6618
cg23300372	3.40e-03	1.00e-03	3.373819	-2.049127	0.07390509	NC_000005.8	71050507	71051626	+	NM_004291.2	9607
cg27038197	3.41e-03	1.00e-03	-3.373533	-2.050012	-0.01020254	NC_000006.10	80303206	80304255	-	NM_181714.1	167691
cg07027075	3.41e-03	1.00e-03	-3.373528	-2.05003	-0.03655979					NM_001024921.2	6133
cg25092283	3.42e-03	1.00e-03	-3.372689	-2.052626	-0.03609582	NC_000010.9	97310124	97311603	-	NM_006434.1	10580
cg24399106	3.42e-03	1.01e-03	3.372564	-2.053014	0.04326384	NC_000004.10	183301426	183303600	-	NM_178838.3	90768
cg17452277	3.42e-03	1.01e-03	-3.37223	-2.054046	-0.00906819	NC_000008.9	110620778	110621875	+	NM_004215.3	9166
cg13018903	3.42e-03	1.01e-03	-3.372227	-2.054056	-0.07501367					NM_152722.3	220296
cg19111262	3.42e-03	1.01e-03	-3.372036	-2.054646	-0.07056733					NM_020789.2	57549
cg09660171	3.42e-03	1.01e-03	3.371674	-2.055767	0.06885663	NC_000009.10	128412539	128418074	+	NM_002316.1	4010
cg08768421	3.43e-03	1.01e-03	-3.371397	-2.056622	-0.03116268	NC_000009.10	73953959	73954858	+	NM_004293.2	9615
cg17940013	3.44e-03	1.01e-03	-3.370347	-2.05987	-0.04612817	NC_000001.9	9111138	9112366	-	NM_024980.3	80045
cg03793778	3.44e-03	1.01e-03	-3.369884	-2.061303	-0.04937514					NM_002307.1	3963
cg08961832	3.44e-03	1.01e-03	-3.36981	-2.06153	-0.10721751	NC_000011.8	269055	271852	+	NM_138329.1	171389
cg08390254	3.45e-03	1.01e-03	-3.369682	-2.061928	-0.07289745					NM_000702.2	477
cg15822411	3.45e-03	1.02e-03	-3.369334	-2.063003	-0.04459426	NC_000011.8	85243210	85244224	+	NM_173556.2	220047
cg16297030	3.45e-03	1.02e-03	-3.369224	-2.063345	-0.07933341					NM_031900.1	64902
cg18808261	3.45e-03	1.02e-03	3.368993	-2.064058	0.04869283					NM_002971.2	6304
cg15452573	3.45e-03	1.02e-03	3.368779	-2.064721	0.07171168	NC_000004.10	90976237	90978020	-	NM_000345.2	6622
cg09630404	3.46e-03	1.02e-03	3.368464	-2.065694	0.06495866	NC_000008.9	38127398	38127709	-	NM_001007243.1	6770
cg01693350	3.46e-03	1.02e-03	-3.368404	-2.065878	-0.12355382	NC_000011.8	32408563	32409903	-	NT_009237.17	7490
cg17660026	3.46e-03	1.02e-03	3.368257	-2.066333	0.0342659	NC_000022.9	39581981	39583311	-	NM_003932.3	6767
cg18350391	3.46e-03	1.02e-03	-3.367786	-2.067791	-0.05867713					NM_001012631.1	9235
cg23401756	3.48e-03	1.03e-03	-3.366427	-2.071989	-0.01314583	NC_000016.8	66571413	66572132	-	NM_022357.1	64180
cg13523386	3.48e-03	1.03e-03	-3.366348	-2.072233	-0.07076119					NM_016519.4	258
cg04737046	3.48e-03	1.03e-03	-3.365941	-2.07349	-0.05742987					NM_018849.1	5244
cg01991150	3.50e-03	1.03e-03	-3.364625	-2.077556	-0.04579044	NC_000011.8	46364141	46364488	-	NM_000741.2	1132
cg21533958	3.51e-03	1.03e-03	-3.363972	-2.079573	-0.08100344	NC_000008.9	37772209	37772597	+	NM_032777.6	25960
cg08132931	3.51e-03	1.04e-03	3.36337	-2.081432	0.04690046	NC_000002.10	70847771	70849205	-	NM_017482.1	119
cg09404633	3.51e-03	1.04e-03	3.363165	-2.082064	0.10876825	NC_000001.9	200181857	200182103	-	NM_012134.1	25802
cg17178336	3.51e-03	1.04e-03	-3.363105	-2.082249	-0.02527121	NC_000002.10	219632914	219634448	-	NM_002181.1	3549
cg14989191	3.52e-03	1.04e-03	3.362617	-2.083756	0.05558247	NC_000016.8	29818716	29819891	+	NM_181718.3	253982
cg17471102	3.52e-03	1.04e-03	-3.362581	-2.083866	-0.07452573					NM_000149.1	2525
cg07389922	3.52e-03	1.04e-03	-3.362313	-2.084694	-0.01294022					NM_203414.1	23587
cg02854288	3.53e-03	1.04e-03	-3.361427	-2.08743	-0.01790771	NC_000003.10	61211519	61212421	-	NM_002012.1	2272
cg01309153	3.53e-03	1.04e-03	-3.361229	-2.088041	-0.04580102	NC_000009.10	135214423	135214627	-	NM_003172.2	6834
cg27360003	3.53e-03	1.04e-03	3.361189	-2.088164	0.05033991	NC_000010.9	105243045	105244443	+	NM_004210.3	9148
cg08085267	3.54e-03	1.05e-03	3.360193	-2.091237	0.06841216	NC_000017.9	42756634	42756936	+	NM_152347.3	124989
cg22325823	3.55e-03	1.05e-03	-3.360141	-2.091398	-0.04544451	NC_000017.9	70178644	70179471	+	NM_001006637.1	326624
cg09099022	3.55e-03	1.05e-03	-3.3601	-2.091525	-0.05354701					NM_015350.1	23507
cg22063653	3.55e-03	1.05e-03	-3.359379	-2.093746	-0.00728838	NC_000007.12	133981713	133982458	+	NM_199186.1	669
cg23764381	3.57e-03	1.06e-03	3.357761	-2.098738	0.04614388	NC_000010.9	116842092	116844180	+	NM_207303.1	26033
cg01172899	3.58e-03	1.06e-03	3.357411	-2.099816	0.10148148					NM_152527.3	151473
cg19005368	3.58e-03	1.06e-03	-3.356874	-2.101472	-0.01787308	NC_000011.8	32807618	32808661	+	NM_024081.4	79056
cg07193504	3.58e-03	1.06e-03	-3.356747	-2.101864	-0.09664548	NC_000001.9	224031442	224032456	+	NM_003133.1	6726
cg09118625	3.59e-03	1.06e-03	-3.355996	-2.104178	-0.06611887	NC_000001.9	68285082	68285689	-	NT_032977.8	9077
cg18656170	3.59e-03	1.06e-03	-3.355807	-2.104761	-0.07701811					NM_002341.1	4050
cg06899329	3.60e-03	1.06e-03	-3.355423	-2.105944	-0.06774997					NM_032037.2	83983
cg21226234	3.60e-03	1.06e-03	-3.35511	-2.106908	-0.04569866					NM_014665.1	9684
cg07160163	3.62e-03	1.07e-03	3.35375	-2.111098	0.05378859	NC_000009.10	92603527	92604494	+	NM_003177.3	6850
cg07237939	3.63e-03	1.07e-03	-3.352524	-2.114874	-0.04289695	NC_000006.10	160688754	160690468	+	NM_021977.2	6581
cg26221631	3.63e-03	1.07e-03	3.35241	-2.115226	0.08070289	NC_000011.8	128747602	128751758	+	NM_003658.3	8538
cg01514487	3.63e-03	1.07e-03	-3.352318	-2.115508	-0.05609599					NM_005379.2	4640
cg19744952	3.63e-03	1.07e-03	3.352228	-2.115786	0.05893255	NC_000019.8	47479243	47481094	+	NM_015125.2	23152
cg01579216	3.64e-03	1.08e-03	-3.351756	-2.117239	-0.07463067					NM_000433.2	4688
cg03889226	3.64e-03	1.08e-03	3.351754	-2.117243	0.0761092	NC_000006.10	137855863	137857514	-	NM_175747.2	167826
cg22370370	3.64e-03	1.08e-03	3.351728	-2.117325	0.00851828	NC_000017.9	44793898	44795352	-	NM_014897.1	22834
cg23106779	3.64e-03	1.08e-03	-3.351682	-2.117465	-0.08312398	NC_000023.9	153176834	153177548	-	NM_001586.1	1527
cg00968931	3.65e-03	1.08e-03	-3.350876	-2.119949	-0.06269216					NM_172251.1	116541
cg17465304	3.65e-03	1.08e-03	-3.350555	-2.120936	-0.08435094	NC_000009.10	115899815	115901565	-	NM_138424.1	113220
cg14116122	3.65e-03	1.08e-03	3.350402	-2.121406	0.07189735	NC_000012.10	84196244	84198853	+	NM_006982.1	8092
cg14580982	3.65e-03	1.08e-03	3.350257	-2.121852	0.06123754	NC_000002.10	10778427	10779952	+	NM_144583.2	245973
cg22747092	3.67e-03	1.09e-03	-3.348759	-2.126461	-0.07013265	NC_000009.10	138125567	138127768	-	NM_144653.3	138151
cg26294850	3.68e-03	1.09e-03	3.347935	-2.128996	0.05380893					NM_005727.2	10103
cg06950730	3.69e-03	1.09e-03	-3.347218	-2.131201	-0.06213009					NM_003186.3	6876
cg01628803	3.69e-03	1.09e-03	-3.34712	-2.131502	-0.02739248					NM_020970.1	57730
cg17258195	3.70e-03	1.10e-03	-3.34635	-2.133871	-0.10684031					NM_005545.3	3671
cg19319490	3.72e-03	1.10e-03	3.344485	-2.139604	0.012254	NC_000007.12	65084014	65084889	-	NM_000181.1	2990
cg10907112	3.72e-03	1.10e-03	-3.344111	-2.140752	-0.05723761					NM_024921.2	79983
cg23140706	3.72e-03	1.10e-03	3.344037	-2.140979	0.05260034					NM_006163.1	4778
cg25840094	3.74e-03	1.11e-03	-3.342313	-2.146277	-0.06415549					NM_030787.1	81494
cg04732193	3.75e-03	1.11e-03	-3.34175	-2.148006	-0.06330577					NM_005525.2	3290
cg09111917	3.75e-03	1.11e-03	-3.341707	-2.148138	-0.06679021					NM_003241.1	7047
cg21123509	3.76e-03	1.11e-03	3.341191	-2.149721	0.00523926	NC_000007.12	44129254	44130419	-	NM_006230.1	5425
cg26220985	3.76e-03	1.12e-03	-3.340905	-2.150599	-0.08868148					NM_001937.3	1805
cg08912400	3.76e-03	1.12e-03	3.34053	-2.151752	0.09659566	NC_000020.9	61462528	61464052	-	NM_000744.2	1137
cg00344358	3.77e-03	1.12e-03	-3.340247	-2.152622	-0.05016397					NM_005811.2	10220
cg04463638	3.77e-03	1.12e-03	3.340223	-2.152694	0.04859728					NM_003277.2	7122
cg05417615	3.77e-03	1.12e-03	3.339853	-2.153829	0.01976943	NC_000004.10	147662185	147663606	-	NM_032128.2	84068
cg00273068	3.77e-03	1.12e-03	3.339806	-2.153973	0.08515295	NC_000020.9	39427979	39429312	-	NM_052846.1	90187
cg12359315	3.77e-03	1.12e-03	3.33957	-2.154699	0.06187878	NC_000003.10	45812367	45813439	-	NM_020208.2	54716
cg20377673	3.77e-03	1.12e-03	3.3395	-2.154915	0.10320823	NC_000022.9	22566156	22567746	+	NM_002415.1	4282
cg13749822	3.80e-03	1.13e-03	3.337692	-2.160463	0.08905022	NC_000004.10	145785521	145786153	+	NM_022475.1	64399
cg17711541	3.80e-03	1.13e-03	3.337633	-2.160643	0.07630483	NC_000006.10	26232334	26232909	+	NM_003512.3	8334
cg14479329	3.80e-03	1.13e-03	3.337426	-2.161279	0.0552017	NC_000006.10	167289290	167290653	-	NM_003730.3	8635
cg25905812	3.80e-03	1.13e-03	3.33712	-2.162217	0.09423956	NC_000009.10	831240	833434	+	NM_021951.2	1761
cg19899882	3.81e-03	1.13e-03	3.336556	-2.163945	0.06112759	NC_000006.10	1255968	1259357	+	NM_033260.2	94234
cg20083730	3.82e-03	1.13e-03	3.335938	-2.165841	0.09281346	NC_000016.8	55216013	55217311	+	NM_175617.2	4493
cg08404225	3.83e-03	1.14e-03	-3.335092	-2.168435	-0.04685967					NM_000564.2	3568
cg17872757	3.83e-03	1.14e-03	3.335054	-2.168553	0.06764232	NC_000011.8	128067557	128070534	+	NM_002017.2	2313
cg05501682	3.83e-03	1.14e-03	-3.334536	-2.170141	-0.0427333	NC_000006.10	2933721	2934661	+	NM_207495.2	401232
cg16404106	3.83e-03	1.14e-03	3.334403	-2.170548	0.06156292	NC_000011.8	85763239	85763775	+	NM_021827.2	60494
cg19026260	3.84e-03	1.14e-03	-3.334208	-2.171145	-0.007676	NC_000011.8	65801767	65802942	+	NM_182553.1	254263
cg27431396	3.84e-03	1.14e-03	-3.334156	-2.171305	-0.01450682					NM_080825.2	128864
cg19420968	3.84e-03	1.14e-03	-3.333844	-2.172263	-0.05685071					NM_001525.1	3061
cg01313949	3.84e-03	1.14e-03	-3.333671	-2.172792	-0.08005436					NM_145303.1	202459
cg11378484	3.85e-03	1.15e-03	-3.332976	-2.174922	-0.03345968					NM_025075.1	80145
cg02099418	3.85e-03	1.15e-03	-3.332505	-2.176366	-0.08484388					NM_006139.1	940
cg14074641	3.86e-03	1.15e-03	-3.331843	-2.178394	-0.08550483					NM_033226.1	94160
cg25563456	3.87e-03	1.15e-03	3.331368	-2.179847	0.07661126	NC_000011.8	32411271	32413831	-	NT_009237.17	7490
